county_name,crime rate per 100000,Murder rate per 100000,Rape rate per 100000,Robbery rate per 100000,Aggrevated Assault rate per 100000,Burglery rate per 100000,Larceny rate per 100000,Motor Vehicle Theft rate per 100000,Arson rate per 100000
"St. Louis city, MO",1791.995377,37.37249384,62.81091402,558.3890257,1133.422944,1568.702578,4331.126577,1112.695342,145.7213205
"Crittenden County, AR",1754.914968,16.08169501,76.3880513,331.6849596,1330.760262,2979.134001,3523.901419,379.9300446,56.28593254
"Alexander County, IL",1664.700485,13.10787783,26.21575567,65.53938917,1559.837462,1074.845982,2411.849522,157.294534,26.21575567
"Kenedy County, TX",1456.31068,0,728.1553398,242.7184466,485.4368932,1213.592233,970.8737864,970.8737864,0
"De Soto Parish, LA",1447.40243,11.07705941,14.76941255,62.77000332,1358.785954,550.1606174,1824.02245,221.5411882,0
"Baltimore city, MD",1419.537569,34.72088268,50.95611023,584.7896815,749.0708949,1254.452632,2902.247856,644.4260124,40.34695164
"Shelby County, TN",1315.003752,14.36988073,51.41223995,373.8297861,875.3918454,1491.380733,3259.301837,344.1320326,46.30294902
"Marlboro County, SC",1253.437132,10.71313788,71.42091919,114.2734707,1057.029604,1456.986751,3835.30336,239.2600793,17.8552298
"Storey County, NV",1217.656012,0,177.5748351,50.73566717,989.3455099,583.4601725,1395.230847,202.9426687,50.73566717
"District of Columbia, DC",1216.801325,13.61282947,36.50713359,624.4885521,542.1928103,544.3584877,3646.846078,566.6340268,7.889253445
"Dillon County, SC",1165.583272,25.61721477,54.43658138,153.7032886,931.8261872,1905.280348,3861.795126,336.2259438,38.42582215
"Scott County, MO",1163.145839,5.09035378,17.81623823,66.17459913,1074.064647,600.661746,2550.267244,99.2618987,20.36141512
"Philadelphia County, PA",1150.29633,21.37570702,56.72288521,514.0471231,558.150615,772.8734552,2484.925942,412.1262068,0
"Pershing County, NV",1148.756725,0,43.62367311,14.54122437,1090.591828,392.613058,625.272648,72.70612186,0
"Greenwood County, SC",1140.226324,10.03972864,55.935631,104.7000273,969.5509373,1384.048305,3677.409176,174.9781277,17.21096338
"Madison County, TN",1138.42383,13.16682366,33.42347543,198.5151874,893.3183434,1316.682366,2637.416061,182.309866,27.3464799
"Davidson County, TN",1129.513728,9.869390011,47.37307205,266.1698568,806.1014087,892.0410202,3093.370503,215.304539,15.18367694
"Marion County, IN",1083.508119,10.98805211,48.79987849,375.5328397,648.1873484,1629.355766,3137.196603,512.4525871,44.59856444
"Wayne County, MI",1065.188284,24.39061485,45.23247974,331.1603342,664.4048549,1119.940426,1954.966926,859.0791388,43.14829325
"Jackson County, MO",1026.623686,17.05892388,52.64736851,281.3251843,675.5922094,1425.743681,3822.669545,728.3866376,46.76498097
"Northwest Arctic Borough, AK",1014.964216,0,299.2843201,156.1483409,559.531555,598.5686402,1639.55758,494.4697463,26.02472349
"Pemiscot County, MO",998.7095326,0,33.66436627,117.8252819,847.2198844,1077.259721,2597.76693,129.0467374,11.22145542
"Iberville Parish, LA",974.0162436,14.98486529,26.97275751,77.92129949,854.1373213,797.1948332,2781.190997,77.92129949,0
"Pulaski County, AR",959.9165823,15.58969955,45.74682328,270.3918382,628.1882213,1805.593891,4603.05047,461.3017655,33.22394987
"Jefferson County, AR",959.1343198,19.12803487,57.3841046,189.9140605,692.7081199,1912.803487,3150.6606,348.4034922,60.11668101
"Miller County, AR",956.1771347,2.304041288,20.7363716,103.681858,829.4548638,1124.372149,3679.553938,299.5253675,13.82424773
"Muskogee County, OK",954.4400666,4.267243219,48.36208981,58.31899065,843.4917429,1248.879849,1883.276674,201.9828457,32.71553134
"Barnwell County, SC",953.9310095,22.60500023,18.08400018,149.1930015,764.0490076,1577.829016,3124.011031,334.5540033,45.21000045
"Tangipahoa Parish, LA",952.8593755,8.771090486,51.03179919,147.5137945,745.5426913,2139.348707,3398.398877,173.827066,0.797371862
"Marion County, SC",941.6313295,24.94387628,37.41581442,159.0172113,720.2544275,2403.966076,3305.063607,286.8545772,37.41581442
"Dillingham Census Area, AK",938.1237525,0,359.2814371,19.96007984,558.8822355,239.5209581,1097.804391,139.7205589,0
"Dougherty County, GA",930.4176661,4.302509439,34.42007551,258.1505663,633.5445148,1721.003775,4134.711571,286.1168777,13.98315568
"Carter County, OK",930.0694974,8.248953414,86.61401085,76.30281908,758.9037141,928.0072591,2736.590295,224.7839805,47.43148213
"Genesee County, MI",922.7783984,16.61145565,58.26046762,235.9308193,611.9756558,1469.752706,2000.837795,225.338007,75.35341474
"Macon County, AL",919.341731,30.4754165,50.79236083,126.9809021,711.0930516,2620.885819,3250.711093,558.7159691,15.23770825
"Milwaukee County, WI",912.6349471,10.77379938,28.86959833,358.3595792,514.5273702,914.622347,3078.796221,546.3257683,36.71459787
"Richland County, SC",911.4452882,6.011180796,46.08571944,202.626886,656.721502,1243.563027,3133.578456,522.7222634,12.77375919
"Grundy County, TN",911.2461105,22.22551489,29.63401985,7.408504964,851.9780708,1163.135279,1237.220329,466.7358127,88.90205956
"Greene County, AL",903.4766697,0,22.87282708,80.05489478,800.5489478,548.94785,1029.277219,171.5462031,137.2369625
"Rock County, MN",892.8571429,0,0,0,892.8571429,94.53781513,546.2184874,31.51260504,0
"San Joaquin County, CA",887.1644385,12.63524324,21.57929183,282.8022982,570.1476052,1138.449613,2391.752168,624.3797728,22.43110598
"Pottawattamie County, IA",873.5225606,1.078422914,85.19541023,89.50910189,697.7396256,1257.441118,3540.462428,611.4657924,59.31326029
"Nolan County, TX",871.1844118,0,179.5570925,66.50262685,625.1246924,950.987564,2294.340626,126.354991,6.650262685
"Kodiak Island Borough, AK",856.0311284,0,56.5970994,70.74637425,728.6876548,162.7166608,1414.927485,219.3137602,21.22391227
"Winnebago County, IL",854.9331535,5.160562295,67.43134732,190.2527299,592.088514,1011.126172,2530.739749,169.2664433,34.74778612
"Suffolk County, MA",831.2342903,7.941728888,41.03226592,298.7413683,483.5189271,523.624658,2147.311129,264.459572,1.455983629
"Saginaw County, MI",828.830479,14.75511595,64.10843484,123.1288987,626.8380295,890.9037254,1377.313755,113.4617537,28.49263771
"Dallas County, AL",828.6503477,21.43061244,57.14829984,166.6825412,583.3888942,1769.216116,3369.368511,376.2263073,61.91065816
"Fulton County, GA",826.1767583,12.49627906,21.94468517,341.8697481,449.866046,1126.798626,3156.580408,776.6996209,13.71542823
"Anchorage Municipality, AK",824.7217146,4.984216647,100.6811763,162.1531816,556.9031401,385.1138063,2898.820402,280.7775378,32.56354876
"Madison County, FL",822.2981632,5.339598462,37.37718924,69.41478001,710.1665955,816.9585647,1692.652713,85.4335754,21.35839385
"Phillips County, AR",818.6675817,4.902201088,39.21760871,127.4572283,647.0905437,2343.25212,2166.772881,161.7726359,53.92421197
"Sangamon County, IL",817.9969369,20.08586708,80.34346833,159.6826433,557.3828115,1056.516609,3152.476838,439.3783424,38.16314746
"Haywood County, TN",812.1158911,0,38.41088674,54.87269535,718.832309,1240.122915,2172.958736,142.6690079,27.43634767
"Lucas County, OH",810.9662621,9.166049868,42.16382939,273.1482861,486.2589455,1745.674197,760.782139,350.3722562,125.3457319
"Robeson County, NC",809.8427036,9.640984567,23.73165432,202.4606759,574.751003,2178.120898,3438.865034,285.521466,51.17137962
"Meade County, KS",805.8945429,0,23.02555837,0,782.8689846,115.1277918,529.5878425,0,0
"Escambia County, FL",798.51676,7.193844685,52.97285632,164.150456,574.199603,1274.945474,3243.769967,222.3551994,17.00363289
"Jefferson County, AL",798.3574913,12.88896235,40.63814011,242.1608573,502.6695316,1502.701375,3003.886401,274.3074457,28.05244746
"Nicholas County, WV",793.3756981,3.85133834,26.95936838,7.70267668,754.8623147,331.2150972,1186.212209,73.17542846,61.62141344
"Franklin County, FL",793.2402138,8.622176237,137.9548198,8.622176237,638.0410416,724.2628039,1120.882911,94.84393861,8.622176237
"St. Clair County, IL",782.1542957,10.48865914,68.55087936,130.7336442,572.3811129,908.7673953,1929.164091,246.1088948,26.22164784
"Orleans Parish, LA",782.1184796,50.96180505,36.17496006,281.4781564,413.5035581,905.9583064,2180.531534,585.6646819,0
"Ector County, TX",781.9089826,3.34721311,29.45547537,109.1191474,639.9871467,729.6924581,2390.579603,345.432393,17.40550817
"Avoyelles Parish, LA",777.2585293,4.84273227,75.06235018,41.16322429,656.1902225,915.2763989,1905.615148,84.74781472,7.264098404
"Rapides Parish, LA",773.792033,6.781040212,32.39830323,127.3328662,607.2798234,1316.27525,3169.759574,187.6087792,3.01379565
"Sumter County, SC",767.644257,11.09847119,27.74617796,95.26187768,633.5377302,1489.969757,2509.179361,320.0059192,49.94312034
"Comanche County, OK",766.7864604,10.40524424,33.61694294,139.2701922,583.494081,1362.286592,2894.258706,264.1331231,33.61694294
"Mississippi County, AR",763.9897241,17.87110466,46.91164973,104.9927399,594.2142299,1990.394281,2843.739529,254.6632414,13.40332849
"Colleton County, SC",762.1467132,5.292685509,37.04879856,68.80491161,651.0003176,1108.817614,3045.94051,513.3904943,37.04879856
"Modoc County, CA",754.3456871,10.93254619,131.1905543,32.79763857,579.4249481,634.087679,983.9291571,43.73018476,54.66273095
"Alameda County, CA",753.6935735,9.690345945,30.21107854,393.9473973,319.8447518,838.879948,2270.011039,826.1494935,21.34409532
"Sumter County, GA",752.455044,0,12.75347532,127.5347532,612.1668155,2362.581303,2633.592654,133.9114909,0
"Darlington County, SC",746.3016118,14.7199529,25.02391992,103.0396703,603.5180687,1734.010451,3637.300361,319.4229778,16.19194819
"Red River Parish, LA",742.0733078,0,0,22.48706993,719.5862379,258.6013043,1304.250056,134.9224196,0
"Lubbock County, TX",740.6920961,4.147599231,48.04302443,113.3677123,575.1337601,1175.153116,3188.121276,286.184347,17.97293
"Socorro County, NM",739.3084622,0,17.06096451,11.37397634,705.1865332,790.4913558,2075.750682,130.8007279,17.06096451
"Duval County, TX",738.8316151,8.591065292,0,42.95532646,687.2852234,902.0618557,1469.072165,558.419244,42.95532646
"Bernalillo County, NM",738.4818924,7.415965981,48.79705616,175.6100744,506.6587959,1165.344894,3266.733015,449.7041771,20.61638543
"Marion County, TX",732.7796776,9.770395701,87.93356131,48.85197851,586.2237421,1123.595506,1406.936981,127.0151441,39.0815828
"Lee County, SC",730.3646373,0,21.80192947,98.10868262,610.4540252,1389.873004,2785.19649,359.7318363,43.60385894
"Shasta County, CA",725.2206951,3.911051514,54.19599955,92.1890714,574.9245726,979.9977651,2024.248519,504.5256453,19.55525757
"Laurens County, SC",724.7580365,9.059475456,46.80728986,73.98571623,594.905555,1108.275831,2415.860122,179.6795966,19.62886349
"North Slope Borough, AK",722.6925459,10.32417923,144.5385092,30.97253768,536.8573198,371.6704522,609.1265744,113.5659715,10.32417923
"Hinds County, MS",721.5219335,26.94988546,58.3914185,345.4485318,290.7320977,1889.350304,3028.18713,519.3977926,28.17488026
"Cibola County, NM",720.6877629,3.658313517,54.87470276,25.60819462,636.546552,848.7287361,728.00439,186.5739894,7.316627035
"Tulsa County, OK",719.1412721,7.229972574,61.2137678,180.2673162,470.4302155,1171.416223,2503.498503,434.1196866,42.25517305
"Putnam County, FL",717.8582747,6.889234882,50.98033812,70.27019579,589.7185059,1417.804539,2689.557298,110.2277581,9.644928834
"Jefferson County, TX",710.8948399,7.925249051,45.17391959,219.5293987,438.2662725,1247.037938,2557.477869,205.6602129,39.2299828
"Ohio County, WV",706.6572141,0,54.88599721,105.1981613,548.8599721,736.3871292,1747.204245,128.0673268,9.147666202
"San Francisco County, CA",701.4217104,8.239376578,13.13523802,424.3875994,255.6594964,644.9401869,3493.495669,642.5519618,25.19577475
"Bamberg County, SC",699.9351912,0,12.9617628,136.0985094,550.874919,1497.083603,2689.565781,265.7161374,12.9617628
"Merced County, CA",696.3544912,8.737672284,20.51453493,125.7465011,541.3557828,1020.408163,2297.248013,515.9025636,31.53159998
"Harris County, TX",696.1038338,7.078865712,26.35551632,287.0514634,375.6179884,1006.351841,2633.430278,480.2791333,26.58609826
"Jim Wells County, TX",695.7773512,31.19001919,40.78694818,16.79462572,607.0057582,1120.441459,2612.763916,223.1285988,33.58925144
"Oklahoma County, OK",694.8738489,10.98981125,52.69813107,150.5471734,480.6387331,1339.697714,3076.882336,551.2118584,19.19906785
"McKinley County, NM",694.3307688,9.548753206,57.29251923,91.39520925,536.0942871,736.6181044,2203.033775,173.2416653,24.55393681
"Mississippi County, MO",693.1802269,14.00364095,28.00728189,42.01092284,609.1583812,896.2330206,2002.520655,91.02366615,56.01456379
"Alpine County, CA",690.2502157,0,258.8438309,0,431.4063848,1553.062985,1725.625539,431.4063848,0
"Calhoun County, GA",689.8666258,0,0,214.6251725,475.2414533,321.9377587,751.1881036,107.3125862,0
"Dyer County, TN",688.2474551,0,23.55219428,60.18894094,604.5063198,1012.744354,2836.730955,130.8455238,7.850731426
"Clark County, NV",685.153077,4.635410194,36.44221419,218.0615306,426.013922,864.8491914,1645.274742,405.0066375,14.6459237
"Guadalupe County, NM",681.1689739,0,0,131.8391562,549.3298176,747.088552,1164.579213,175.7855416,21.9731927
"San Juan County, NM",675.0828044,4.742970522,105.1358466,45.05821996,519.3552722,573.1089381,1837.901077,149.4035715,22.92435753
"Fairfield County, SC",675.0616643,17.30927344,34.61854689,64.90977541,558.2240685,913.0641741,2626.682245,294.2576485,21.6365918
"McDonald County, MO",673.8186009,4.433017111,17.73206845,17.73206845,633.9214469,487.6318823,1179.182552,110.8254278,26.59810267
"Taylor County, FL",673.754211,13.12508203,43.75027344,26.25016406,590.6286914,511.8781992,717.5044844,65.62541016,13.12508203
