State,County,% Fair or Poor Health,% Low birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Teen Birth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),% Children in Poverty,Income Ratio (80th% : 20th%),% Children in Single-Parent Households,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
Alabama,,21,10,20,5.5,29,61,15,27,583.4,29,1534:01:00,2005:01:00,923:01:00,40,43,22,5.2,32,12.3,23307,480,84,9.2,,14,86,35
Alabama,Autauga,20,9,20,6.7,31,69,14,33,504.5,24,2139:01:00,2940:01:00,3492:01:00,39,42,16,5.1,25,12.2,149,272,68,10.4,No,14,86,38
Alabama,Baldwin,16,8,19,7.8,25,74,19,30,297.2,26,1425:01:00,2029:01:00,1015:01:00,43,46,14,4.4,22,10.5,408,204,73,7.2,No,13,84,40
Alabama,Barbour,30,11,26,5.5,28,53,12,39,755.8,37,3110:01:00,2743:01:00,8229:01:00,44,39,41,6,51,7.6,106,414,77,9.4,No,14,82,31
Alabama,Bibb,24,10,23,7.6,33,16,15,30,613.2,38,1867:01:00,4479:01:00,3732:01:00,33,40,26,5,31,8.5,20,89,106,10,No,9,87,52
Alabama,Blount,22,7,23,7.9,33,16,16,18,303.4,31,4820:01:00,5257:01:00,5783:01:00,37,40,21,4.4,22,7.8,279,483,108,10.6,No,10,88,58
Alabama,Bullock,31,15,25,5,42,3,12,55,1222.2,46,3379:01:00,5051:01:00,3367:01:00,32,29,40,5.6,74,7.9,33,311,99,9.2,No,20,81,47
Alabama,Butler,28,12,23,6.8,40,49,13,31,933.2,37,3936:01:00,3241:01:00,1768:01:00,39,35,35,5,41,9.7,117,582,99,8.9,Yes,12,86,31
Alabama,Calhoun,24,9,21,6.6,31,48,14,15,595.3,32,1565:01:00,1475:01:00,817:01:00,33,40,25,4.8,30,14.3,871,756,92,10.8,No,13,84,31
Alabama,Chambers,25,13,23,6.7,29,62,14,30,711.9,42,2401:01:00,5542:01:00,33254:1,36,43,30,4.8,34,18.1,181,529,91,10.2,No,15,86,30
Alabama,Cherokee,23,8,24,7.7,30,33,16,22,386.7,33,2603:01:00,6549:01:00,4366:01:00,35,50,23,4.8,21,8.5,86,330,106,10.3,No,12,82,46
Alabama,Chilton,24,9,23,7.6,33,46,15,22,342.7,45,4415:01:00,3418:01:00,1851:01:00,38,42,23,4.9,28,14.9,223,508,92,10.2,No,15,84,51
Alabama,Choctaw,26,11,23,6.1,34,29,14,62,378.5,32,2568:01:00,2098:01:00,12589:1,48,34,30,5.9,44,21.8,17,128,95,8.9,No,11,85,46
Alabama,Clarke,27,13,24,5.7,41,25,14,29,577.2,39,1840:01:00,2953:01:00,1390:01:00,36,30,29,8.3,32,15.9,116,475,87,9.1,No,13,88,40
Alabama,Clay,25,9,25,7.5,34,64,16,48,643.4,36,2655:01:00,6618:01:00,6618:01:00,36,44,26,4.7,29,11.3,42,309,96,7.4,No,10,87,39
Alabama,Cleburne,23,8,24,7.2,26,41,16,29,261.7,32,4996:01:00,,1864:01:00,27,41,18,4.7,17,7.3,16,103,106,9.8,No,13,85,55
Alabama,Coffee,22,9,21,7.2,32,54,16,31,601.5,26,2163:01:00,3079:01:00,1309:01:00,40,38,22,4.9,29,13.9,142,276,65,9.1,No,11,87,28
Alabama,Colbert,22,11,22,7,35,56,16,24,425.7,31,1565:01:00,2046:01:00,2762:01:00,40,47,19,4.8,29,16.8,218,400,78,7.5,No,14,90,29
Alabama,Conecuh,29,14,26,5.8,43,37,13,18,657.6,36,2455:01:00,6034:01:00,1724:01:00,35,45,35,4.8,47,7.3,48,387,92,8.8,No,13,89,37
Alabama,Coosa,26,14,25,6.7,36,6,14,34,613.7,37,,,10663:1,36,42,28,4.6,29,11.2,27,255,112,9.8,No,13,82,40
Alabama,Covington,23,10,23,6.9,37,50,15,20,428.7,42,2055:01:00,2646:01:00,1425:01:00,40,40,27,5.1,29,12.4,125,331,82,8.8,No,12,89,28
Alabama,Crenshaw,25,10,23,6,34,22,14,59,692.1,33,6912:01:00,6886:01:00,1530:01:00,41,40,25,5.5,38,10.1,45,332,82,9,No,10,80,45
Alabama,Cullman,22,8,23,7.6,34,42,15,29,235.6,38,1896:01:00,1994:01:00,676:01:00,44,44,17,4.4,22,11.3,106,129,96,10.5,No,12,87,33
Alabama,Dale,22,8,21,6.3,32,46,16,26,686.6,34,4896:01:00,2732:01:00,1046:01:00,41,42,28,4.8,29,11.4,214,437,80,9.2,No,13,86,25
Alabama,Dallas,30,14,25,5.3,33,60,12,42,747.2,36,1321:01:00,3100:01:00,1617:01:00,43,36,41,6,63,12.5,380,925,115,9.7,No,19,91,29
Alabama,DeKalb,27,8,25,7.3,33,45,13,26,251.3,37,2549:01:00,3405:01:00,3764:01:00,35,44,29,4.9,22,8.7,196,312,107,7.7,No,11,84,32
Alabama,Elmore,19,9,19,7.4,25,52,15,42,499.5,26,3899:01:00,6247:01:00,4512:01:00,44,41,18,4.4,21,11.1,195,239,76,10.6,Yes,11,86,44
