"Average earnings per worker growth, 2001-2016",Capital outlays per pupil,Civilian population aged 25 and up,Farmers' markets per capita,Flag = 1 if state has expanded Medicaid,Grocery stores per capita,Interval measure of number of organizations at which one volunteers  ,Interval measure of volunteer hours  ,Itemized contributions as share of total adjusted gross income,Long-term debt issued during FY per pupil,"Long-term debt outstanding at the end of FY per pupil, thousands of current dollars",Natural amenity scale,Net migration rate,"Non-rent seeking organizations per 10,000 population","Payments sent to charter schools per pupil, thousands of current dollars","Payments sent to private schools per pupil, thousands of current dollars",Percent of adults that have diabetes,Percent of civilian population aged 25-34 that is uninsured,Percent of current spending spent on support services,Percent of population that didn't work over the past year,Percent of population that works part-time (less than 35 hours a week),Percent of returns with itemized deductions,Percent of returns with professional or business income,Percent of returns with salaries and wages,Percent of revenue from federal sources,Percent of total elementary-secondary expenditures for other elementary-secondary programs,Percent of total revenue from state sources,Percent of working population that carpooled to work,Percent of working-age population working 1-13 weeks per year,Percent of working-age population working 14-39 weeks per year,Percent of working-age population working 40-47 weeks per year,Population density,"Population growth, 2010-2016",Population that has low access to grocery stores rate,"Property crime events per 1,000 population",Rate Working Outside County of Residence  ,Ratio of emp. in local industries to traded industries,Ratio of interest on school system debt to total elementary-secondary expenditures,Ratio of non-elementary-secondary expenditures to total elementary-secondary expenditures,"Rent-seeking organizations per 10,000 people",Residential stability,Rural-urban continuum code (1-9),"Share of emp. in Arts occupations, 2007-11 avg",Share of emp. in all local industries,Share of emp. in the 2nd-largest traded industry  ,Share of emp. in the 4th-largest traded industry  ,Share of emp. in the 5th-largest traded industry  ,Share of emp. in the Arts & Entertainment occupation SC,Share of emp. in the Business & Other White Collar occupation SC,Share of emp. in the Business Services & Support industry supercluster (SC),Share of emp. in the College occupation SC,Share of emp. in the High IP Manufacturing industry SC,"Share of emp. in the Manufacturing, Technology & Engineering occupation SC",Share of emp. in the Tech & Knowledge Services industry SC,Share of emp. in the largest local industry,Share of emp. in the largest traded industry  ,Share of emp. in top 2 local industries,Share of emp. in top 3 industries,Standardized score of January mean sunlight,Standardized score of January mean temperature,Standardized score of July mean humidity,Standardized score of July mean temperature,Standardized score of topographical features,Suicide rate,Total civilian population aged 18-64 rate,Total civilian population aged 25-34 rate,"Total civilian population, 2016 rate",Total fall 2015 public school enrollment rate,"Total school revenue from local sources, thousands of current dollars rate","Total school revenue from state sources, thousands of current dollars rate",Years of potential life lost to premature death (age-adjusted) rate,"emp. growth, 2001-2016",emp. in social assistance industries (NAICS 624) rate,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Mobility,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,Murder rate per 100000,Rape rate per 100000,Robbery rate per 100000,Aggrevated Assault rate per 100000,Burglery rate per 100000,Motor Vehicle Theft rate per 100000,Arson rate per 100000,% Low birthweight,% Smokers,% Physically Inactive,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),Income Ratio (80th% : 20th%),Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,state,county,HDI
0.014771597,0.215968579,17077.0,0.080157108,0.0,0.199203187,1.588457389,131.504315,0.064657303,0.0,1.227094293,-0.61,-0.0095281,11.23325042,0.0,0.0,17.0,33.57047653,35.83224106,32.77006912,16.799263,18.54166603,15.72916698,83.64583588,10.76940918,6.583785057,58.13737106,9.808330656,7.068183422,8.218817711,5.075942039,51.17415237,-1.833418578,0.0112669910865295,24.4018724,0.547917328,0.878802515,0.005670842,0.001807191,0.80237503,0.943742406,4.0,0.003056546,10.7043829,0.036226105,0.023666902,0.087918799,0.019888009,0.091330373,0.12535879,0.045568643,0.034568749,0.135740491,0.0,0.080367207,0.123962484,0.096496653,0.245142258,0.58689,0.89669,-1.09576,-0.07432,-0.73966,0.120617562,0.5864294016271893,0.0901366678690232,0.991703739329085,0.122480060919402,0.4287202917718729,0.801611157869424,0.3823874872750591,-0.017176449,0.0034868341950222,87.35070653,65.89308279,67.0592861,63.59803374,84.25243814,78.08944681,94.7,7.692307692,87.27610829,67.77835082,58.50142352,-0.283619337,78.49131025,77.64874205,71.07562649,69.61409418,73.14139441,67.72960611,71.83205873,0.0,19.99440157,47.98656376,443.8757148,863.7581477,99.97200784,51.98544408,9.0,23.0,28.0,59.0,32.0,566.3,1888.0,8176.0,1635.0,45.0,35.0,5.4,87.0,9.9,1.0,14.0,78.0,46.0,SC,ABBEVILLE,0.8407970428749433
0.029136827,0.340423405,40069.0,0.0,1.0,0.338540407,1.282051282,173.5512821,0.032343642,0.0,0.900208712,-1.56,-0.0059736,8.160261128,0.0,0.0,12.9,28.19377899,32.08135605,32.47126389,13.51344395,13.45528412,16.99186897,86.26016235,15.43092632,6.61729002,57.11807251,12.17487322,4.320607662,7.684216022,3.733066559,94.68502045,0.96967931,0.0174302256300904,24.896061,0.50813839,2.336076772,0.000836716,0.00552646,0.48001536,0.952857352,2.0,0.003403403,4.713623047,0.03176659,0.025701778,0.156536682,0.055184052,0.055184051,0.034114793,0.045684645,0.002371368,0.070433098,0.005246949,0.095438855,0.032964911,0.186194087,0.110056958,-0.52714,1.64949,-0.95884,-0.07028,-1.19466,0.207518557,0.5903450266145065,0.1303950490604758,0.9855383826075804,0.1613063554158917,0.4262008593599692,0.8868081831591098,0.1639617155133713,-1.85e-05,0.0073109728724427,85.74827612,68.11364179,71.95640943,47.25922973,82.9109705,80.29548727,92.6,9.189189189,86.12105007,67.07519687,83.10698114,0.211838932,81.69095685,76.72967767,71.38783092,68.55378427,78.48967396,69.96566097,68.41031268,6.430454633,6.430454633,32.15227317,118.9634107,260.4334126,86.81113755,0.0,9.0,27.0,32.0,43.0,25.0,527.2,2704.0,2585.0,1171.0,48.0,49.0,5.9,83.0,8.7,1.0,13.0,85.0,38.0,LA,ACADIA,0.8193450048916991
0.038428493,0.153947368,23850.0,0.090744102,1.0,0.331674959,1.434199497,132.3704946,0.040940699,0.0,0.0,1.16,-0.0235277,10.30365477,0.0,0.0,13.6,36.77383041,35.41896439,30.61689568,12.95076942,23.26732635,15.34653473,81.49752808,11.64446259,5.320437431,54.65242767,12.31791826,2.846434355,4.811588287,2.228525162,73.77984619,-0.313593053,0.051431824107683,14.50717819,0.208103523,0.897832525,0.0,0.0,1.515243348,0.955453852,4.0,0.006048387,8.539227486,0.055256508,0.043093755,0.067738121,0.026232248,0.070175439,0.055920016,0.160150376,0.001605245,0.044026734,0.003385,0.061379631,0.069968313,0.178764519,0.29546246,0.67722,0.27624,-1.09576,0.19389,-1.19466,0.151758885,0.5740169388989715,0.1072595281306715,0.9884150030248032,0.160919540229885,0.5899879007864489,0.9567150635208712,0.2885114186327889,-0.004522728,0.0120992135511191,87.70367315,67.76048865,68.40792781,59.6656571,86.27266692,80.89104319,95.2,9.279778393,84.90987573,69.86443961,85.27571386,-0.376873828,73.64343249,82.22583385,74.26392348,79.2548933,78.29570519,70.11624925,67.77004442,6.033546519,27.15095933,45.25159889,111.6206106,540.0024134,63.35223845,123.6877036,10.0,23.0,33.0,37.0,25.0,734.4,2493.0,2308.0,873.0,43.0,46.0,4.0,88.0,7.3,0.0,13.0,74.0,31.0,VA,ACCOMACK,0.829946846484706
0.023481011,0.391906679,281818.0,0.021136783,0.0,0.102629515,1.403755869,125.1384977,0.034235288,0.0019249,4.478293896,1.87,0.0055776,5.903754741,0.0,0.0,7.5,19.26959038,31.80691338,20.16366577,20.00952339,35.15200043,16.85718536,82.58374023,7.297332287,4.206436157,61.27490997,8.119647705,4.828486443,7.927902699,4.703268051,388.7957153,8.520892536,0.1582512431716447,16.52352546,0.074211993,1.654664361,0.023673659,0.00416866,2.155339032,0.931898061,2.0,0.011899071,7.585125923,0.033806793,0.020499432,0.117665917,0.023128523,0.066983984,0.082967125,0.044058004,0.00794632,0.064674027,0.001876471,0.086300156,0.056273934,0.257590122,0.180286205,-1.039,-0.31938,2.39555,0.03085,1.08035,0.231967353,0.6114472120583,0.1407686273773009,0.985544788843536,0.1610505450941526,0.4178413238202152,0.8146679881070367,0.0115531785330133,0.013087888,0.0112424201147022,85.32871932,68.6283644,65.27777778,59.47613517,83.8226065,84.68954249,96.7,15.79545455,86.64150339,62.63841161,87.7177454,0.178407785,77.51174358,80.61990834,63.88651696,88.0,70.91756343,78.13180827,74.1594203,0.720350378,29.53436552,19.44946022,156.7962657,355.1327366,54.98674555,19.68957701,7.0,15.0,15.0,89.0,34.0,463.4,1051.0,1235.0,335.0,45.0,49.0,4.3,63.0,6.2,1.0,13.0,81.0,20.0,ID,ADA,0.9093557792407232
0.032786317,1.954138756,5275.0,0.272851296,1.0,0.265146493,1.607729469,106.1613527,0.027226062,10.51454163,10.5816555,-1.59,-0.046127699,17.52730214,0.0,0.0,11.6,7.856191635,23.19688034,14.50850677,15.21739101,19.71014404,19.13043404,78.84057617,4.368893623,4.102042675,46.85042572,10.0847226,3.851606846,6.616257191,4.536861897,13.25027943,-4.582140068,0.0668196251296043,7.399434952,0.430992088,1.756684357,0.002203576,0.0,2.696508022,0.918639868,6.0,0.003778338,4.838736057,0.029638549,0.026173279,0.116038303,0.049345796,0.067289721,0.011883918,0.051588786,0.011978091,0.0882243,0.0,0.080028733,0.039903831,0.165020739,0.143103169,0.40624,-0.98118,-0.0689,-0.73887,0.62534,0.141003948,0.5564802182810369,0.1024556616643929,0.9813096862210096,0.1219645293315143,0.8377899045020464,0.8046384720327422,1.213905424010914,-0.00361694,0.0140518417462482,84.3149976,69.1328373,67.19414399,61.67388831,80.76000926,77.53356968,97.0,8.376963351,88.72218669,68.94185424,78.54512512,1.447790155,80.14334279,78.03760832,66.43097036,77.27756678,72.78230256,65.40227512,70.37269115,0.0,0.0,0.0,66.91648822,374.732334,66.91648822,13.38329764,6.0,20.0,25.0,72.0,29.0,269.4,2354.0,1788.0,1648.7392328398385,46.0,39.0,4.2,104.0,7.3,0.0,8.0,80.0,34.0,IA,ADAIR,0.8765376685831454
0.022106647,0.901450336,12753.0,0.10440593,1.0,0.262715427,1.579912664,110.9554585,0.046904675,0.636667907,9.924507141,0.24,-0.0056086,3.690620551,0.0,0.0,15.1,20.79646111,27.97979164,32.89338684,16.57314491,15.45064354,22.31759644,80.11444855,14.67511463,6.251718521,68.26716614,9.993666878,5.255670547,10.25843716,3.635501385,46.95978165,2.680102916,0.0901773769576111,7.186967632,0.398733368,1.482560924,0.030725872,0.008179818,0.527231507,0.924726661,7.0,0.005109489,6.436631203,0.017369913,0.015437491,0.10034484,0.029406037,0.045764363,0.149893165,0.030963973,0.00880233,0.059201558,0.0,0.079875291,0.031373963,0.167668291,0.246095314,-0.7078,0.1687,-0.27427,-0.10629,0.92868,0.15560166,0.6213718939235748,0.1061808310712048,0.985069951973272,0.1403737732303195,0.2698371267487993,1.07992273961161,0.4358625907809563,0.001764973,0.0065253706410524,85.54506922,60.60679891,66.36669985,62.09294097,83.50156703,78.7022555,93.4,14.34108527,84.26535548,63.85723249,62.33375596,0.164143546,84.58525322,75.12649048,72.84038346,77.68541385,76.55110942,69.09559167,69.93547466,0.0,16.01537476,26.69229127,53.38458253,250.9075379,32.03074952,5.338458253,8.0,27.0,34.0,60.0,18.0,272.0,2745.0,4801.0,492.0,39.0,31.0,4.6,93.0,8.8,0.0,12.0,85.0,31.0,KY,ADAIR,0.8356740670449243
0.016329136,0.498147517,13621.0,0.039143539,0.0,0.116995554,1.495400788,138.0670171,0.041314972,4.58403492,10.30616379,-1.11,0.028981799,15.66784175,0.0,0.0,9.0,22.93364334,28.1439724,25.463377,25.83742714,15.32004166,16.36935997,80.27281952,8.618307114,4.506876469,49.05760193,11.38353765,10.6409111,11.46158981,4.276462555,45.19816208,-0.234310931,0.1806010443496301,27.31215567,0.12425108,1.472863098,0.027227109,0.018058481,1.175088132,0.884329832,5.0,0.012042819,3.260559082,0.022778638,0.019280231,0.172507747,0.043360876,0.04319725,0.084535889,0.040333797,0.01674396,0.05718727,0.006659234,0.133057024,0.04189568,0.1989513,0.188462135,0.19547,-0.64201,-0.00045,-0.70838,0.62534,0.197168658,0.671389987082632,0.1008729009277018,0.9880612204955572,0.1162171683563627,0.5634321055309821,0.6530708106627001,0.2970860654871413,-0.004384797,0.0105296120875249,85.37891501,63.90239788,69.25483689,61.70167938,82.12234761,76.89637546,94.3,8.013937282,83.97225518,68.06002603,79.02943329,0.354812225,79.1389779,79.05057597,70.37133027,65.91466248,71.67576802,66.07261547,66.61329565,0.0,3.910527139,7.821054278,203.3474112,449.710621,58.65790709,15.64210856,9.0,22.0,29.0,78.0,25.0,338.9,1102.0,1408.0,437.0,42.0,53.0,6.4,64.0,7.8,1.0,18.0,78.0,16.0,MO,ADAIR,0.8662521689649136
0.019247293,0.12255656,14239.0,0.0,0.0,0.134048257,1.654411765,123.3964932,0.051703056,0.069185153,0.108719528,1.0,-0.056385599,8.576716472,0.018449374,0.0,14.3,46.33308029,33.55524826,38.51993942,10.28230286,10.30534363,19.08396912,83.84223938,24.41366768,8.570584297,60.62663269,9.039057657,3.405321836,4.879487038,2.697722435,39.02490234,-2.301282899,0.0745027894950588,16.84248653,0.386112823,1.03995593,0.000295381,0.000318102,0.0,0.965273018,4.0,0.001179941,6.871811867,0.060535133,0.034650352,0.105249795,0.012469299,0.122047988,0.043988377,0.078216512,0.047704179,0.142830153,0.0,0.050357459,0.068009086,0.096727995,0.24274221,0.10515,0.42515,0.34184,-0.72659,1.53535,0.181011856,0.5855782681286945,0.118135463201119,0.994314335995668,0.2054510175533595,0.2973241279725644,1.2049546500609178,0.534960990478769,-0.00345241,0.0008122377149045,86.18049283,66.5513704,68.03741805,60.44432638,83.33273937,79.45661809,94.0,6.153846154,82.70157359,69.02478884,78.78874753,-0.124309026,79.92944198,77.81179833,73.85575576,74.95496863,80.15312728,72.60696605,66.24644879,4.505722267,31.54005587,4.505722267,270.343336,702.8926737,90.11444535,31.54005587,7.0,32.0,22.0,28.0,30.0,529.5,3680.0,3699.0,453.0,30.0,48.0,5.1,98.0,9.1,0.0,16.0,84.0,38.0,OK,ADAIR,0.8109540964615581
0.024124622,0.452099949,303509.0,0.012500599,1.0,0.142993947,1.454545455,99.99142367,0.022707498,2.353488922,8.64928627,2.48,0.0058715,3.844802969,0.0,0.003190568,7.2,24.91023636,34.54339218,19.46242523,16.76704597,28.43911934,15.16548157,87.57791138,7.09504509,4.03766346,53.00513458,11.51661611,4.604397297,8.889062881,3.86491847,395.307251,8.689705459,0.1393727496317532,28.86940023,0.601604805,1.914438627,0.044523161,0.00618276,0.893656906,0.917079595,1.0,0.008021263,5.195715904,0.021205407,0.011167874,0.137100145,0.01894295,0.066599765,0.016266067,0.053807474,0.007410333,0.066680694,0.013775107,0.082732549,0.039951023,0.242002492,0.129600354,1.88158,-0.24493,1.3687,0.51168,-0.73966,0.168611385,0.6218485469095394,0.1584096737968694,0.9927725703523294,0.1756563335326484,0.7574321269560833,1.006214881129721,0.0132495209812136,0.019769035,0.0054190096608795,84.36415599,62.5,80.0,70.95238095,83.17339387,79.39262044,96.4,13.67548115,86.97839414,66.30102041,84.91492619,0.24025274,76.9903401,80.82281108,66.31734007,74.08629059,75.64363313,69.47108539,73.21428572,4.688902008,58.39814319,50.72539445,222.5097135,463.5619031,312.0251155,21.52632286,9.0,18.0,19.0,93.0,34.0,580.9,2169.0,1526.0,287.0,35.0,47.0,3.7,77.0,9.2,1.0,18.0,78.0,47.0,CO,ADAMS,0.8707407747246969
0.026977113,1.419354796,2748.0,0.261643119,1.0,0.254000508,1.607729469,106.1613527,0.032449043,0.0,11.18595791,-1.0,-0.0038215,12.91655903,0.0,0.0,10.1,7.948718071,25.95168877,16.58493042,18.1007576,16.39344215,19.67213058,77.04917908,3.607572317,2.415581226,40.77866364,11.44957983,4.324565411,7.044137478,4.592064381,9.297678947,-5.137751303,0.0677066568550497,9.558253681,0.396533623,1.914176365,0.031744026,0.0,7.749935417,0.962149285,7.0,0.0,8.294129372,0.031142753,0.019223267,0.246587625,0.036846616,0.072836333,0.0,0.056555271,0.098067284,0.12167952,0.0,0.04266101,0.046905395,0.129201157,0.15164501,0.40624,-0.93155,-0.0689,-0.68719,0.62534,0.270782562,0.5635792778649922,0.1020408163265306,0.9816849816849816,0.1378859236002093,1.2221350078492936,0.8961276818419676,1.9546777394034536,0.010584045,0.0,85.17986875,67.58412807,64.80441727,53.97057148,80.49959128,79.16845052,97.3,4.504504505,87.41823184,68.45787203,91.03927356,1.233661534,80.74281932,75.85058048,65.26913257,61.39305745,72.95400399,62.45028184,75.34565464,0.0,25.68053416,0.0,359.5274782,282.4858757,51.36106831,0.0,6.0,20.0,25.0,54.0,0.0,189.9,3645.0,1201.0,3602.0,51.0,53.0,3.6,81.0,7.2,0.0,6.0,77.0,24.0,IA,ADAMS,0.8580611195476447
